date,temperature_2m,relative_humidity_2m,dew_point_2m,wind_speed_10m,wind_direction_10m,wind_gusts_10m
2025-02-15 00:00:00+00:00,35.843,78.0,29.655085,1.9924859,107.52566,4.6
2025-02-15 01:00:00+00:00,35.843,80.0,30.277674,1.9924859,107.52566,4.2
2025-02-15 02:00:00+00:00,36.023,81.0,30.75954,1.8027756,109.440125,4.0
2025-02-15 03:00:00+00:00,36.383,82.0,31.414536,1.7888545,116.56499,3.8
2025-02-15 04:00:00+00:00,36.743,82.0,31.766481,1.7888545,116.56499,3.8
2025-02-15 05:00:00+00:00,36.833,82.0,31.854467,1.8867962,122.00535,4.3
2025-02-15 06:00:00+00:00,36.833,82.0,31.854467,1.7492856,120.963684,3.9
2025-02-15 07:00:00+00:00,37.103,81.0,31.813911,1.56205,129.80553,3.7
2025-02-15 08:00:00+00:00,37.463,78.0,31.229893,1.7691805,137.29063,3.7
2025-02-15 09:00:00+00:00,38.003,76.0,31.111723,1.8384775,135.0001,4.0
2025-02-15 10:00:00+00:00,38.723,75.0,31.481274,1.8867962,122.00535,4.2
2025-02-15 11:00:00+00:00,39.803,73.0,31.854841,2.0,126.86999,4.5
2025-02-15 12:00:00+00:00,40.793,70.0,31.766804,1.9798989,135.0001,4.7
2025-02-15 13:00:00+00:00,41.783,69.0,32.359097,2.1931713,133.1524,4.9
2025-02-15 14:00:00+00:00,42.683,65.0,31.735992,2.280351,127.875046,5.1
2025-02-15 15:00:00+00:00,42.863,66.0,32.28643,2.408319,131.63345,5.3
2025-02-15 16:00:00+00:00,42.593,64.0,31.266457,2.4207437,128.2902,5.4
2025-02-15 17:00:00+00:00,41.873,65.0,30.965046,2.505993,118.61037,5.4
2025-02-15 18:00:00+00:00,40.883,63.0,29.255316,2.640076,114.62355,5.7
2025-02-15 19:00:00+00:00,40.072998,67.0,29.995653,2.8178005,117.47435,5.9
2025-02-15 20:00:00+00:00,39.623,69.0,30.288952,2.7294688,118.442825,5.8
2025-02-15 21:00:00+00:00,39.353,70.0,30.384375,2.7856774,111.03758,5.8
2025-02-15 22:00:00+00:00,39.083,71.0,30.474497,2.7892652,104.5345,5.9
2025-02-15 23:00:00+00:00,38.723,71.0,30.1283,2.7294688,98.42689,5.8
2025-02-16 00:00:00+00:00,38.273,70.0,29.347437,2.8017852,92.045364,5.9
2025-02-16 01:00:00+00:00,37.913,70.0,29.001766,2.630589,98.74608,6.2
2025-02-16 02:00:00+00:00,37.553,72.0,29.345766,2.209072,95.19434,5.6
2025-02-16 03:00:00+00:00,37.193,75.0,30.000671,2.433105,99.46225,5.3
2025-02-16 04:00:00+00:00,36.743,78.0,30.529999,3.0149627,95.7105,6.2
2025-02-16 05:00:00+00:00,36.023,82.0,31.062582,3.0016663,88.09089,6.4
2025-02-16 06:00:00+00:00,35.933,86.0,32.15442,2.745906,100.491425,7.7
2025-02-16 07:00:00+00:00,36.563,84.0,32.18833,2.433105,99.46225,5.1
2025-02-16 08:00:00+00:00,37.013,82.0,32.030437,2.7018514,92.12105,5.7
2025-02-16 09:00:00+00:00,37.733,80.0,32.120205,2.8017852,87.95464,5.8
2025-02-16 10:00:00+00:00,38.723,78.0,32.45463,3.3136082,84.805664,6.9
2025-02-16 11:00:00+00:00,39.623,72.0,31.33961,3.9,90.0,8.2
2025-02-16 12:00:00+00:00,40.613,65.0,29.765661,4.4011364,88.69808,9.4
2025-02-16 13:00:00+00:00,40.973,64.0,29.727184,4.4102154,86.09958,9.7
2025-02-16 14:00:00+00:00,41.063,62.0,29.033924,4.110961,85.81516,9.3
2025-02-16 15:00:00+00:00,40.793,63.0,29.169943,4.3104525,86.00917,9.2
2025-02-16 16:00:00+00:00,40.163002,62.0,28.181715,4.4553337,80.960594,9.3
2025-02-16 17:00:00+00:00,39.083,61.0,26.764582,4.295346,77.90526,9.3
2025-02-16 18:00:00+00:00,37.822998,65.0,27.109295,4.244997,74.98159,9.1
2025-02-16 19:00:00+00:00,37.013,68.0,27.431843,4.016217,71.11382,8.8
2025-02-16 20:00:00+00:00,36.473,70.0,27.618977,3.8626416,68.74943,8.2
2025-02-16 21:00:00+00:00,36.113,72.0,27.958542,3.0083218,68.5522,8.0
2025-02-16 22:00:00+00:00,35.933,74.0,28.453186,2.4698179,68.62931,6.1
2025-02-16 23:00:00+00:00,35.933,76.0,29.10541,1.868154,74.47583,4.9
2025-02-17 00:00:00+00:00,35.933,78.0,29.742579,1.5524175,75.068535,3.7
2025-02-17 01:00:00+00:00,36.4964,77.0,29.97273,2.0099752,84.2895,4.4
2025-02-17 02:00:00+00:00,36.0464,78.0,29.85282,1.9235383,81.02746,4.5
2025-02-17 03:00:00+00:00,35.4164,81.0,30.167309,1.746425,66.37061,4.2
2025-02-17 04:00:00+00:00,34.7864,84.0,30.446655,1.8384776,67.61982,3.9
2025-02-17 05:00:00+00:00,34.4264,86.0,30.67346,1.9313208,68.74943,4.1
2025-02-17 06:00:00+00:00,34.1564,87.0,30.6931,1.5524175,75.068535,4.0
2025-02-17 07:00:00+00:00,34.1564,89.0,31.254597,1.5132746,82.40546,3.1
2025-02-17 08:00:00+00:00,34.3364,89.0,31.432228,1.264911,108.43504,3.3
2025-02-17 09:00:00+00:00,35.4164,85.0,31.356976,1.868154,105.52418,4.3
2025-02-17 10:00:00+00:00,36.8564,78.0,30.640234,2.0124612,116.56499,5.0
2025-02-17 11:00:00+00:00,38.3864,72.0,30.148546,2.5495098,115.55992,6.0
2025-02-17 12:00:00+00:00,40.0964,66.0,29.648438,2.404163,106.9276,6.0
2025-02-17 13:00:00+00:00,41.4464,62.0,29.396938,2.570992,103.49575,6.4
2025-02-17 14:00:00+00:00,42.2564,62.0,30.16381,3.1064448,93.691315,7.5
2025-02-17 15:00:00+00:00,42.3464,64.0,31.032164,3.622154,96.340096,8.4
2025-02-17 16:00:00+00:00,41.8064,65.0,30.901653,2.7294688,118.442825,8.3
